Time_stamp,Ax,Ay,Az,Gx,Gy,Gz,Label
22:19:23.980,0.799072,-0.059326,0.612549,1.981707,6.189024,1.067073,2
22:19:24.015,0.791016,-0.064941,0.558350,7.347561,5.121951,-0.853659,2
22:19:24.049,0.808105,-0.039795,0.566650,4.695122,2.896342,1.036585,2
22:19:24.083,0.771240,-0.060547,0.600830,5.640244,0.823171,2.469512,2
22:19:24.113,0.775391,-0.078369,0.560059,6.981708,-0.213415,2.774390,2
22:19:24.146,0.778809,-0.089111,0.591309,3.719512,0.609756,1.219512,2
22:19:24.181,0.777588,-0.080322,0.624756,2.103659,0.487805,1.585366,2
22:19:24.217,0.767578,-0.086182,0.620117,2.957317,0.000000,0.335366,2
22:19:24.231,0.763184,-0.065918,0.625732,-1.006098,0.701220,-1.250000,2
22:19:24.288,0.778076,-0.078125,0.621826,-0.121951,2.042683,-1.158537,2
22:19:24.323,0.781494,-0.075439,0.618408,-0.670732,2.378049,-1.341463,2
22:19:24.333,0.784912,-0.071289,0.623047,-2.743902,2.195122,-1.585366,2
22:19:24.383,0.785889,-0.077881,0.607422,-0.213415,2.560976,-1.432927,2
22:19:24.393,0.786621,-0.081055,0.610107,0.701220,2.103659,-1.463415,2
22:19:24.425,0.787354,-0.063721,0.609619,-1.463415,1.676829,-2.012195,2
22:19:24.476,0.781250,-0.067139,0.613037,0.091463,1.463415,-2.743902,2
22:19:24.511,0.781494,-0.068115,0.610352,-3.048780,1.615854,-3.353659,2
22:19:26.046,0.782471,-0.065918,0.624756,0.487805,0.823171,-2.591464,2
22:19:26.099,0.782715,-0.065674,0.626953,-1.128049,0.945122,-2.652439,2
22:19:26.135,0.774902,-0.059082,0.619873,0.182927,1.097561,-2.682927,2
22:19:26.172,0.777344,-0.062500,0.616943,0.731707,1.036585,-2.469512,2
22:19:26.202,0.780518,-0.057617,0.615723,0.792683,0.975610,-2.530488,2
22:19:26.235,0.783691,-0.066406,0.616699,0.792683,0.518293,-2.439024,2
22:19:26.252,0.788086,-0.059326,0.616211,-0.823171,0.945122,-2.286585,2
22:19:26.282,0.801758,-0.075684,0.621338,1.829268,2.347561,-0.487805,2
22:19:26.326,0.803711,-0.073730,0.624512,-2.195122,2.012195,-0.457317,2
22:19:26.355,0.794922,-0.072266,0.614258,-2.469512,2.225610,-0.152439,2
22:19:26.391,0.781250,-0.082764,0.607422,0.030488,1.250000,1.371951,2
22:19:26.442,0.773438,-0.087646,0.606445,0.945122,0.213415,2.042683,2
22:19:26.450,0.764404,-0.084473,0.601318,1.951220,-0.792683,1.981707,2
22:19:26.506,0.755615,-0.081787,0.604004,2.286585,-2.987805,1.006098,2
22:19:26.549,0.758057,-0.078613,0.606201,1.554878,-3.414634,0.152439,2
22:19:26.568,0.757568,-0.068115,0.617676,-1.310976,-3.567073,-0.609756,2
22:19:26.591,0.756348,-0.057861,0.627686,-6.646342,-3.353659,-2.804878,2
22:19:26.615,0.763916,-0.065674,0.628662,-5.975610,-3.750000,-3.414634,2
22:19:26.670,0.759521,-0.088135,0.630615,-3.201220,-4.298780,-2.926829,2
22:19:26.684,0.750244,-0.083008,0.634521,-0.701220,-5.060976,-3.384146,2
22:19:26.719,0.759277,-0.043213,0.607666,-10.884147,-1.371951,-8.841464,2
22:19:26.765,0.802002,-0.071289,0.645508,-18.323172,2.164634,-9.237805,2
