Time_stamp,Ax,Ay,Az,Gx,Gy,Gz,Label
16:27:21.345,-0.230957,-0.211182,0.954834,2.926829,-3.506098,3.658537,
16:27:21.381,-0.234863,-0.193604,0.960449,2.439024,-4.634147,5.518293,
16:27:21.381,-0.234863,-0.193604,0.960449,2.439024,-4.756098,6.371952,
16:27:21.400,-0.219971,-0.191406,0.966309,3.506098,-4.969512,7.347561,
16:27:21.410,-0.213379,-0.185303,0.974121,6.097561,-4.969512,7.225610,
16:27:21.410,-0.213379,-0.185303,0.974121,6.189024,-4.573171,6.676829,
16:27:21.455,-0.211182,-0.143066,0.980469,3.780488,-4.969512,5.914634,
16:27:21.463,-0.205322,-0.134033,0.976318,1.981707,-5.091464,5.152439,
16:27:21.463,-0.205322,-0.134033,0.976318,2.530488,-5.670732,5.182927,
16:27:21.487,-0.197021,-0.159180,0.968750,5.213415,-5.091464,2.713415,
16:27:21.500,-0.200195,-0.133789,0.984375,4.451220,-5.853659,2.256098,
16:27:21.500,-0.200195,-0.133789,0.984375,3.689024,-5.762195,2.225610,
16:27:21.546,-0.188721,-0.130371,0.986572,3.689024,-4.634147,1.615854,
16:27:21.554,-0.192383,-0.142822,0.992188,5.121951,-4.054878,-1.676829,
16:27:21.574,-0.190674,-0.141602,0.989258,6.432927,-3.932927,-3.414634,
16:27:21.582,-0.186279,-0.129395,0.988525,6.371952,-4.054878,-4.634147,
16:27:21.587,-0.199219,-0.140625,0.977539,0.213415,-5.365854,-2.256098,
16:27:21.617,-0.208008,-0.105957,1.063232,-6.280488,-7.164634,0.030488,
16:27:21.623,-0.212646,-0.160645,1.067871,-4.756098,-5.457317,1.676829,
16:27:21.655,-0.208984,-0.222656,1.001953,4.207317,-3.170732,0.579268,
16:27:21.662,-0.246826,-0.154297,0.935547,4.146341,-5.000000,2.530488,
16:27:21.684,-0.250732,-0.159668,0.933594,7.469512,-8.231708,4.115854,
16:27:21.691,-0.211182,-0.199463,0.931396,9.359756,-7.012195,5.304878,
16:27:21.702,-0.163574,-0.079102,1.019531,5.335366,-5.701220,8.201220,
16:27:21.736,-0.151855,-0.095947,1.036621,3.719512,-5.731708,3.932927,
16:27:21.743,-0.118896,-0.157471,1.011230,7.621952,-1.981707,-1.615854,
16:27:21.773,-0.114502,-0.058594,0.945557,5.609756,-0.579268,-1.128049,
16:27:21.781,-0.129639,-0.038086,0.933350,0.548781,-0.670732,-1.250000,
16:27:21.788,-0.101562,-0.085938,0.955811,1.219512,1.554878,-0.884146,
16:27:21.814,-0.116699,-0.144531,0.935791,3.719512,3.323171,-0.060976,
16:27:21.828,-0.150146,-0.140137,0.943359,7.560976,4.268293,-1.250000,
16:27:21.865,-0.167969,-0.100342,1.013428,4.878049,4.329268,0.000000,
16:27:21.882,-0.179932,-0.104004,1.044922,3.628049,5.457317,0.030488,
16:27:21.900,-0.200439,-0.106689,1.038818,2.500000,6.006098,-4.359756,
16:27:21.910,-0.188721,-0.090332,0.984375,1.310976,4.176829,-3.963415,
16:27:21.919,-0.187500,-0.136963,0.889648,2.774390,2.134146,-1.554878,
16:27:21.933,-0.191406,-0.166016,0.842773,6.189024,-1.128049,0.548781,
16:27:21.940,-0.177734,-0.109863,0.974365,0.670732,-0.396341,0.701220,
16:27:21.966,-0.116699,-0.109863,1.126709,-1.097561,0.701220,-0.884146,
16:27:21.973,-0.106934,-0.139404,1.125244,-3.506098,7.347561,0.548781,
16:27:22.000,-0.177979,-0.056885,1.049316,-8.658537,10.121951,5.000000,
16:27:22.013,-0.213379,-0.138184,1.048096,-6.585366,11.951220,0.701220,
16:27:22.034,-0.193359,-0.167969,1.028564,0.670732,16.554878,-6.128049,
16:27:22.045,-0.187012,-0.095947,1.025146,-2.195122,17.987804,-5.000000,
16:27:22.045,-0.187012,-0.095947,1.025146,-4.237805,17.682928,-6.128049,
16:27:22.077,-0.202393,-0.107910,0.976807,-5.457317,15.365854,-8.628049,
16:27:22.084,-0.205078,-0.119873,0.942139,-7.560976,11.646341,-10.365854,
16:27:22.084,-0.205078,-0.119873,0.942139,-7.804878,9.603659,-10.884147,
16:27:22.130,-0.201660,-0.116211,0.918701,-8.506098,7.865854,-10.487805,
16:27:22.149,-0.202637,-0.117676,0.973145,-9.146341,6.402439,-11.402439,
16:27:22.149,-0.202637,-0.117676,0.973145,-8.719512,6.768293,-12.042684,
16:27:22.170,-0.202881,-0.156738,0.985107,-8.414635,8.323171,-13.597561,
16:27:22.218,-0.212402,-0.141113,0.983154,-8.170732,8.658537,-14.237805,
16:27:22.218,-0.212402,-0.141113,0.983154,-7.743903,9.298780,-15.152439,
16:27:22.244,-0.210449,-0.158203,0.992920,-6.859756,10.304878,-15.335366,
16:27:22.257,-0.214844,-0.159668,0.959229,-8.750000,9.512196,-14.725610,
16:27:22.257,-0.214844,-0.159668,0.959229,-9.451220,8.140244,-14.695123,
16:27:22.282,-0.222656,-0.176514,0.941650,-8.932927,6.890244,-15.152439,
16:27:22.302,-0.223145,-0.190918,0.946045,-8.628049,5.335366,-15.640244,
16:27:22.302,-0.223145,-0.190918,0.946045,-8.445122,4.817073,-15.914635,
16:27:22.334,-0.230225,-0.193115,0.962158,-9.420732,3.689024,-15.640244,
16:27:22.357,-0.236572,-0.221680,0.944336,-7.957317,3.536585,-13.536586,
16:27:22.357,-0.236572,-0.221680,0.944336,-6.829268,3.018293,-11.920732,
16:27:22.379,-0.249023,-0.247070,0.949463,-4.878049,2.164634,-9.664635,
16:27:22.392,-0.252930,-0.259766,0.946777,-2.865854,0.792683,-7.164634,
16:27:22.405,-0.256836,-0.261963,0.936523,-2.073171,-0.243902,-5.853659,
16:27:22.416,-0.250488,-0.260254,0.936035,-1.036585,-1.737805,-2.926829,
16:27:22.434,-0.249268,-0.246582,0.942871,-0.640244,-2.865854,-0.914634,
16:27:22.445,-0.244629,-0.240967,0.952881,-0.365854,-3.262195,-0.335366,
16:27:22.471,-0.243408,-0.238037,0.954102,1.250000,-4.298780,1.463415,
16:27:22.483,-0.231934,-0.234131,0.957275,2.164634,-4.756098,1.951220,
16:27:22.508,-0.220459,-0.208984,0.965332,2.164634,-4.725610,2.347561,
16:27:22.529,-0.219971,-0.217285,0.970459,3.567073,-4.756098,2.134146,
16:27:22.549,-0.207520,-0.213379,0.961670,4.542683,-4.115854,3.018293,
16:27:22.563,-0.211182,-0.191895,0.962646,3.750000,-4.176829,3.871951,
16:27:22.574,-0.215576,-0.183105,0.963379,2.103659,-4.512195,3.963415,
16:27:22.585,-0.213379,-0.177490,0.972656,2.012195,-5.060976,3.384146,
16:27:22.601,-0.208496,-0.195068,0.970703,3.658537,-4.878049,2.164634,
16:27:22.619,-0.204102,-0.201904,0.972656,6.432927,-4.054878,0.731707,
16:27:22.633,-0.201172,-0.180908,0.978271,4.573171,-3.414634,1.219512,
16:27:22.645,-0.199951,-0.156250,0.987305,2.378049,-3.170732,1.158537,
16:27:22.679,-0.197021,-0.168701,0.982178,1.036585,-2.469512,0.457317,
16:27:22.689,-0.187012,-0.197998,0.976807,2.835366,-1.158537,-0.640244,
16:27:22.703,-0.192383,-0.178955,0.978760,2.530488,-0.853659,0.396341,
16:27:22.716,-0.200928,-0.178223,0.979004,0.792683,-1.067073,0.335366,
16:27:22.739,-0.204346,-0.186035,0.968750,0.091463,-0.762195,-0.274390,
16:27:22.752,-0.199463,-0.194336,0.966553,0.670732,-0.701220,-0.091463,
16:27:22.781,-0.202148,-0.197998,0.968994,2.408537,-0.731707,-0.426829,
16:27:22.791,-0.208740,-0.200684,0.967041,4.268293,-1.006098,-0.945122,
16:27:22.802,-0.211182,-0.185547,0.972168,3.963415,-1.463415,-0.975610,
16:27:22.823,-0.209473,-0.175293,0.971436,2.195122,-2.530488,-1.250000,
16:27:22.835,-0.208740,-0.187500,0.957031,3.353659,-3.323171,-2.134146,
16:27:22.844,-0.204346,-0.196045,0.963135,4.756098,-3.719512,-2.865854,
16:27:22.868,-0.205566,-0.200928,0.957031,7.652439,-4.817073,-4.756098,
16:27:22.881,-0.199219,-0.162354,0.996826,4.359756,-3.353659,-2.164634,
16:27:22.881,-0.199219,-0.162354,0.996826,4.176829,-1.981707,-0.853659,
16:27:22.902,-0.199463,-0.249023,1.038574,7.469512,-0.030488,-1.890244,
16:27:22.914,-0.218262,-0.223877,1.009521,5.701220,-2.652439,-0.975610,
16:27:22.914,-0.218262,-0.223877,1.009521,2.530488,-5.640244,0.884146,
16:27:22.943,-0.261963,-0.207764,0.957275,4.146341,-5.823171,-2.774390,
16:27:22.962,-0.199463,-0.180420,0.919189,8.628049,-5.487805,1.890244,
16:27:22.962,-0.199463,-0.180420,0.919189,9.451220,-5.792683,1.036585,
16:27:23.014,-0.160645,-0.142090,1.020020,6.554878,-3.689024,1.737805,
16:27:23.024,-0.128174,-0.209473,1.043945,12.073171,0.365854,-0.457317,
16:27:23.024,-0.128174,-0.209473,1.043945,12.378049,1.493902,-1.432927,
16:27:23.057,-0.156982,-0.092529,0.925049,7.500000,0.701220,-0.396341,
16:27:23.070,-0.153564,-0.047852,0.910645,2.926829,-0.426829,0.518293,
16:27:23.070,-0.153564,-0.047852,0.910645,1.554878,0.335366,0.731707,
16:27:23.103,-0.142334,-0.097900,0.996338,2.682927,2.865854,-1.097561,
16:27:23.112,-0.161621,-0.144043,0.989258,3.445122,4.359756,-3.201220,
16:27:23.112,-0.161621,-0.144043,0.989258,2.987805,3.902439,-3.810976,
16:27:23.162,-0.188721,-0.129395,0.936768,2.378049,3.018293,-2.743902,
16:27:23.180,-0.189209,-0.149902,0.971436,1.341463,3.871951,-2.682927,
16:27:23.180,-0.189209,-0.149902,0.971436,0.609756,4.420732,-2.774390,
16:27:23.207,-0.180664,-0.139404,1.000488,1.402439,4.695122,-1.006098,
16:27:23.220,-0.197266,-0.112793,0.939941,-1.341463,1.768293,1.310976,
16:27:23.229,-0.199707,-0.084473,0.831787,-2.560976,-0.762195,4.847561,
16:27:23.255,-0.199951,-0.102051,0.813477,-4.359756,-7.164634,9.634147,
16:27:23.266,-0.156250,-0.135498,1.035400,-8.902439,-6.067073,4.115854,
16:27:23.285,-0.089844,-0.252441,1.206543,-7.987805,-3.262195,-0.579268,
16:27:23.307,-0.070068,-0.241211,1.193604,-9.024390,10.914635,5.000000,
16:27:23.317,-0.175049,-0.156250,1.065918,-14.359756,17.347561,12.408537,
16:27:23.336,-0.248047,-0.272949,1.063477,-11.524390,19.878050,11.128049,
16:27:23.352,-0.223633,-0.304199,1.064941,0.060976,25.853659,3.353659,
16:27:23.360,-0.173340,-0.226562,1.063232,1.646342,29.847561,7.500000,
16:27:23.379,-0.207520,-0.141602,0.977539,-1.890244,28.902439,8.231708,
16:27:23.390,-0.233398,-0.139160,0.926025,-5.701220,23.384148,6.250000,
16:27:23.413,-0.222656,-0.171387,0.880615,-2.134146,18.750000,3.993902,
16:27:23.424,-0.205811,-0.147949,0.914795,-2.103659,17.317074,3.993902,
16:27:23.450,-0.208008,-0.136963,0.941895,-6.219512,14.969513,4.969512,
16:27:23.459,-0.213623,-0.165283,0.965088,-6.371952,15.091464,6.189024,
16:27:23.465,-0.236816,-0.191895,0.967773,-5.518293,15.670732,5.853659,
16:27:23.490,-0.256836,-0.200928,0.970703,-2.439024,15.579268,3.079268,
16:27:23.495,-0.266357,-0.186768,0.952393,0.182927,15.975610,1.067073,
16:27:23.526,-0.272461,-0.170654,0.961670,-0.975610,15.518293,0.762195,
16:27:23.533,-0.271973,-0.168457,0.953613,-3.597561,15.213415,2.073171,
16:27:23.564,-0.280029,-0.189453,0.935303,-6.158537,14.603659,3.109756,
16:27:23.575,-0.305664,-0.198975,0.904297,-7.134147,12.500000,4.024390,
16:27:23.584,-0.312012,-0.204590,0.900879,-6.128049,7.713415,5.731708,
16:27:23.608,-0.302734,-0.261230,0.911133,-0.762195,3.993902,7.347561,
